{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537168.730169, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.45924415', 'last': '112.00', 'timestamp': 1377537169.993144, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.45924415', 'last': '112.00', 'timestamp': 1377537172.491924, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.45924415', 'last': '112.00', 'timestamp': 1377537173.757907, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.45924415', 'last': '112.00', 'timestamp': 1377537176.259834, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.52424415', 'last': '112.00', 'timestamp': 1377537177.5146, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.52424415', 'last': '112.00', 'timestamp': 1377537180.011277, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.52424415', 'last': '112.00', 'timestamp': 1377537181.289324, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.52424415', 'last': '112.00', 'timestamp': 1377537183.800992, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9167.52424415', 'last': '112.00', 'timestamp': 1377537185.005019, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9159.46134388', 'last': '112.00', 'timestamp': 1377537186.254807, 'bid': '111.06', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
{'volume': '9149.41236377', 'last': '112.00', 'timestamp': 1377537188.794462, 'bid': '111.06', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9137.44048932', 'last': '112.00', 'timestamp': 1377537193.775522, 'bid': '111.06', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9156.94048932', 'last': '111.06', 'timestamp': 1377537195.052936, 'bid': '111.06', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9143.84567451', 'last': '111.06', 'timestamp': 1377537197.515943, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9134.12688247', 'last': '111.06', 'timestamp': 1377537198.778271, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9125.71815419', 'last': '111.06', 'timestamp': 1377537200.053054, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9113.53802000', 'last': '111.06', 'timestamp': 1377537202.566438, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537203.776398, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537206.285066, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537207.531318, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537210.059037, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537211.301022, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537212.576395, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537215.03309, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537216.295969, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537217.548632, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537220.051306, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537221.288464, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537223.794628, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537225.041551, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9087.52424415', 'last': '111.06', 'timestamp': 1377537227.577927, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9086.63146672', 'last': '111.06', 'timestamp': 1377537228.804483, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9085.73876899', 'last': '111.06', 'timestamp': 1377537231.292127, 'bid': '111.07', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9085.73876899', 'last': '111.06', 'timestamp': 1377537236.317495, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537238.839907, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
